date,CT_conf_cases,ME_conf_cases,MA_conf_cases,VT_conf_cases,vt_avg_temp,vt_prcp,me_avg_temp,me_prcp,ct_avg_temp,ct_prcp,ma_avg_temp,ma_prcp
2020-01-22,0,0,0,0,-28,0,-72.0,0.0,-76.0,0.0,-53.0,0.0
2020-01-23,0,0,0,0,-27,0,-30.0,3.0,-46.0,0.0,0.0,0.0
2020-01-24,0,0,0,0,-8,0,-14.0,0.0,6.0,0.0,19.0,0.0
2020-01-25,0,0,0,0,3,119,-30.0,3.0,23.0,218.0,33.0,25.0
2020-01-26,0,0,0,0,22,23,11.0,132.0,49.0,0.0,64.0,193.0
2020-01-27,0,0,0,0,14,13,-3.0,10.0,38.0,0.0,39.0,0.0
2020-01-28,0,0,0,0,-11,3,-58.0,0.0,26.0,0.0,30.0,0.0
2020-01-29,0,0,0,0,-69,0,-105.0,0.0,13.0,0.0,14.0,0.0
2020-01-30,0,0,0,0,-85,0,-96.0,0.0,-32.0,0.0,-34.0,0.0
2020-01-31,0,0,0,0,-53,0,-55.0,0.0,-17.0,3.0,2.0,0.0
2020-02-01,0,0,0,0,-13,0,-19.0,0.0,13.0,0.0,16.0,5.0
2020-02-02,0,0,0,0,-16,0,-52.0,0.0,16.0,0.0,25.0,0.0
2020-02-03,0,0,0,0,14,0,-25.0,0.0,31.0,0.0,22.0,0.0
2020-02-04,0,0,0,0,-5,0,-35.0,0.0,26.0,0.0,30.0,0.0
2020-02-05,0,0,0,0,-33,0,-72.0,0.0,43.0,3.0,16.0,25.0
2020-02-06,0,0,0,0,-49,102,-85.0,53.0,1.0,91.0,11.0,114.0
2020-02-07,0,0,0,0,-55,226,-77.0,254.0,16.0,84.0,69.0,114.0
2020-02-08,0,0,0,0,-141,0,-144.0,3.0,-16.0,0.0,-14.0,0.0
2020-02-09,0,0,0,0,-124,0,-144.0,0.0,-36.0,0.0,-33.0,0.0
2020-02-10,0,0,0,0,-2,8,-44.0,30.0,26.0,69.0,36.0,33.0
2020-02-11,0,0,0,0,-11,13,-44.0,0.0,39.0,33.0,47.0,69.0
2020-02-12,0,0,0,0,11,0,-25.0,0.0,38.0,0.0,30.0,0.0
