date,CT_conf_cases,ME_conf_cases,VT_conf_cases,vt_avg_temp_t,vt_prcp,me_avg_temp,me_prcp,ct_avg_temp,ct_prcp
2020-01-22,0,0,0,-28,0,-72.0,0.0,-76.0,0.0
2020-01-23,0,0,0,-27,0,-30.0,3.0,-46.0,0.0
2020-01-24,0,0,0,-8,0,-14.0,0.0,6.0,0.0
2020-01-25,0,0,0,3,119,-30.0,3.0,23.0,218.0
2020-01-26,0,0,0,22,23,11.0,132.0,49.0,0.0
2020-01-27,0,0,0,14,13,-3.0,10.0,38.0,0.0
2020-01-28,0,0,0,-11,3,-58.0,0.0,26.0,0.0
2020-01-29,0,0,0,-69,0,-105.0,0.0,13.0,0.0
2020-01-30,0,0,0,-85,0,-96.0,0.0,-32.0,0.0
2020-01-31,0,0,0,-53,0,-55.0,0.0,-17.0,3.0
2020-02-01,0,0,0,-13,0,-19.0,0.0,13.0,0.0
2020-02-02,0,0,0,-16,0,-52.0,0.0,16.0,0.0
2020-02-03,0,0,0,14,0,-25.0,0.0,31.0,0.0
2020-02-04,0,0,0,-5,0,-35.0,0.0,26.0,0.0
2020-02-05,0,0,0,-33,0,-72.0,0.0,43.0,3.0
2020-02-06,0,0,0,-49,102,-85.0,53.0,1.0,91.0
2020-02-07,0,0,0,-55,226,-77.0,254.0,16.0,84.0
2020-02-08,0,0,0,-141,0,-144.0,3.0,-16.0,0.0
2020-02-09,0,0,0,-124,0,-144.0,0.0,-36.0,0.0
2020-02-10,0,0,0,-2,8,-44.0,30.0,26.0,69.0
2020-02-11,0,0,0,-11,13,-44.0,0.0,39.0,33.0
2020-02-12,0,0,0,11,0,-25.0,0.0,38.0,0.0
2020-02-13,0,0,0,-50,38,-80.0,18.0,25.0,165.0
2020-02-14,0,0,0,-166,0,-188.0,0.0,-17.0,0.0
2020-02-15,0,0,0,-138,0,-160.0,0.0,-88.0,0.0
2020-02-16,0,0,0,-8,0,-72.0,0.0,-7.0,0.0
2020-02-17,0,0,0,-55,3,-85.0,3.0,26.0,0.0
2020-02-18,0,0,0,-39,28,-110.0,109.0,-5.0,43.0
2020-02-19,0,0,0,-22,0,-85.0,3.0,31.0,0.0
2020-02-20,0,0,0,-116,0,-158.0,0.0,-24.0,0.0
2020-02-21,0,0,0,-113,0,-118.0,0.0,-52.0,0.0
2020-02-22,0,0,0,-8,0,-58.0,0.0,3.0,0.0
2020-02-23,0,0,0,0,0,11.0,0.0,29.0,0.0
2020-02-24,0,0,0,64,0,25.0,0.0,63.0,0.0
2020-02-25,0,0,0,25,10,41.0,0.0,78.0,46.0
2020-02-26,0,0,0,0,3,9.0,0.0,69.0,20.0
2020-02-27,0,0,0,9,140,-22.0,124.0,59.0,257.0
2020-02-28,0,0,0,-30,10,-66.0,3.0,3.0,0.0
2020-02-29,0,0,0,-69,5,-102.0,0.0,-18.0,0.0
2020-03-01,0,0,0,-69,3,-99.0,3.0,-32.0,0.0
2020-03-02,0,0,0,0,0,-83.0,46.0,31.0,0.0
2020-03-03,0,0,0,67,28,42.0,0.0,107.0,38.0
2020-03-04,0,0,0,53,0,0.0,66.0,89.0,0.0
2020-03-05,0,0,0,28,0,-11.0,0.0,62.0,0.0
2020-03-06,0,0,0,14,0,-41.0,8.0,32.0,0.0
2020-03-07,0,0,0,-33,0,-58.0,0.0,37.0,0.0
