iter	RMSE
0	290.387858
1	285.9672139
2	281.4865613
3	277.1863952
4	273.9852561
5	269.6343285
6	265.5005589
7	261.5637265
8	258.0288508
9	254.5603613
10	250.9537119
11	247.1474101
12	243.5036197
13	240.6241805
14	237.5246639
15	234.7176986
16	231.7605847
17	229.7643141
18	227.300262
19	224.9966381
20	222.1409641
21	219.3284414
22	217.0570166
23	214.8426734
24	212.4184483
25	210.2839945
26	208.4169112
27	206.3336727
28	204.316753
29	201.1839062
30	198.8086662
31	195.9605111
32	194.5889444
33	192.5694889
34	190.1370527
35	187.760026
36	185.9983325
37	184.0358707
38	181.6426698
39	179.6690289
40	178.4115786
41	176.3790686
42	174.8063561
43	173.2554896
44	171.7752819
45	170.4021618
46	169.4543827
47	167.2779198
48	165.8919206
49	163.6567751
50	161.8352632
51	160.3652435
52	158.7155975
53	157.5194406
54	156.0081058
55	153.9659255
56	152.7442108
57	151.1434866
58	149.7475669
59	148.4314449
60	147.3059647
61	146.0357344
62	145.3266858
63	144.5270478
64	143.4048873
65	142.5095636
66	141.2972465
67	139.9009921
68	138.4579701
69	137.3458386
70	136.6062176
71	135.9472665
72	135.4060862
73	134.635478
74	133.2092991
75	132.4036559
76	131.8669096
77	130.8940664
78	129.9758002
79	128.8029018
80	128.4725984
81	127.5714404
82	126.300696
83	125.8105045
84	125.036967
85	124.2891835
86	123.4388478
87	122.627682
88	121.6934353
89	120.8565777
90	120.0005579
91	119.6246276
92	119.3071614
93	118.6486968
94	118.2763228
95	117.6252245
96	117.0737276
97	116.8243045
98	116.480352
99	116.0643542
100	115.7575193
101	114.8920105
102	114.3826332
103	113.9991168
104	113.4958805
105	112.7948696
106	112.3206236
107	112.0055221
108	111.7694318
109	111.1869953
110	110.6332879
111	110.1055507
112	109.5064426
113	108.900383
114	107.8358261
115	107.3110201
116	106.4574167
117	105.9387981
118	105.5646581
119	104.8033358
120	104.124773
121	103.2757198
122	102.9430312
123	102.5554544
124	101.7147585
125	101.4513154
126	101.0922811
127	100.7242337
128	100.5102575
129	100.2652448
130	100.0363596
131	99.7998109
132	99.35405079
133	99.02240311
134	98.34700429
135	97.95258334
136	97.6331927
137	97.22431285
138	96.98339508
139	96.69277996
140	96.26939179
141	95.92426985
142	95.37493533
143	94.77732705
144	94.51729259
145	94.27107681
146	93.67117506
147	93.1257571
148	92.57152603
149	91.98356155
150	91.36425049
151	91.02969207
152	90.59643139
153	90.18075253
154	89.79374993
155	89.25449727
156	88.83998445
157	88.46633891
158	88.16814519
159	87.84366555
160	87.38129545
161	87.02962549
162	86.41498727
163	86.04173442
164	85.60440403
165	85.25990513
166	84.95960178
167	84.48971772
168	83.94426173
169	83.48882203
170	83.01211799
171	82.82744936
172	82.49764541
173	81.96704526
174	81.74581254
175	81.49034204
176	81.20549377
177	80.92067555
178	80.4187907
179	80.28956403
180	79.91527628
181	79.45190962
182	79.10849296
183	78.88509646
184	78.39609853
185	78.13140837
186	77.57237389
187	77.04038591
188	76.77991204
189	76.44528168
190	76.0141085
191	75.64117652
192	75.53227222
193	75.3164401
194	75.17313175
195	74.92299387
196	74.53613525
197	74.07464081
198	73.70570187
199	73.45915596
200	73.17059828
201	73.00765754
202	72.76943246
203	72.47383814
204	72.16271399
205	71.91299189
206	71.57446611
207	71.17256839
208	70.96695555
209	70.77066779
210	70.57671926
211	70.3383185
212	70.01096841
213	69.73986001
214	69.52427206
215	69.10228753
216	68.78315783
217	68.6197102
218	68.36706701
219	68.12573908
220	67.85141397
221	67.63426587
222	67.40790618
223	67.20132846
224	67.01628538
225	66.85627099
226	66.52957849
227	66.12146702
228	65.85929344
229	65.51367585
230	65.19328616
231	64.97846722
232	64.68631549
233	64.33509006
234	64.02751074
235	63.73413382
236	63.47080398
237	63.26080614
238	63.11587076
239	62.78205797
240	62.52888479
241	62.25479373
242	62.01174879
243	61.75434543
244	61.50045425
245	61.18016612
246	60.97627136
247	60.73112226
248	60.56862861
249	60.35976696
250	60.11129271
251	59.81172786
252	59.68466621
253	59.45812478
254	59.2083147
255	59.12091819
256	58.84721536
257	58.6371262
258	58.42092298
259	58.16764113
260	57.94370538
261	57.77128535
262	57.63433806
263	57.58471478
264	57.36623757
265	57.08115601
266	56.89839742
267	56.67830726
268	56.49691448
269	56.26282917
270	56.04824512
271	55.98995656
272	55.73040387
273	55.51249589
274	55.29260155
275	55.09259463
276	54.88604448
277	54.69911048
278	54.55882489
279	54.38781448
280	54.14115969
281	54.05587432
282	53.91389082
283	53.71607911
284	53.47304637
285	53.30331727
286	53.11918516
287	52.96157491
288	52.88532092
289	52.83248505
290	52.791863
291	52.63813928
292	52.4614997
293	52.38917718
294	52.31853751
295	52.12603971
296	51.94039296
297	51.8687145
298	51.81861019
299	51.65248592
300	51.60354496
301	51.5390341
302	51.50286193
303	51.21361099
304	51.04599339
305	50.86521499
306	50.71381271
307	50.64321977
308	50.57310788
309	50.40989246
310	50.35688732
311	50.19360644
312	50.04932691
313	50.01112192
314	49.85997173
315	49.70993324
316	49.55425839
317	49.52026691
318	49.372679
319	49.33586938
320	49.30281151
321	49.24659423
322	49.03012276
323	48.99501497
324	48.85198275
325	48.68345892
326	48.51516503
327	48.39472817
328	48.28142751
329	48.24376052
330	48.10411609
331	47.91404171
332	47.71937327
333	47.53582776
334	47.37174591
335	47.22517664
336	47.0703836
337	46.91576932
338	46.79537035
339	46.65421212
340	46.45477388
341	46.31792378
342	46.17119762
343	46.00101204
344	45.82818133
345	45.66000647
346	45.5152485
347	45.32763665
348	45.20011578
349	45.0379404
350	44.85884441
351	44.76283146
352	44.59051346
353	44.42489636
354	44.32240202
355	44.26918934
356	44.11375352
357	44.05385285
358	43.90959324
359	43.77377935
360	43.57513898
361	43.4285097
362	43.39297725
363	43.2507501
364	43.17189288
365	43.04449191
366	42.96811365
367	42.82212652
368	42.70707647
369	42.6737088
370	42.52430739
371	42.42561421
372	42.31995643
373	42.1617071
374	42.10661675
375	42.05515665
376	41.9079049
377	41.7091107
378	41.62575315
379	41.49411854
380	41.38152103
381	41.2537251
382	41.15424922
383	41.03072783
384	40.93097091
385	40.85718388
386	40.7179636
387	40.58609527
388	40.44985987
389	40.3095932
390	40.21090767
391	40.1443682
392	40.06440504
393	40.00189582
394	39.89981791
395	39.80846756
396	39.67674698
397	39.59604981
398	39.51312088
399	39.38444091
400	39.31726948
401	39.23264168
402	39.11923471
403	39.04498008
404	38.96517548
405	38.85476337
406	38.77133028
407	38.73106868
408	38.68960135
409	38.63492281
410	38.52848631
411	38.40882666
412	38.30772277
413	38.25957851
414	38.13069679
415	38.05903419
416	37.99780078
417	37.92294058
418	37.9068345
419	37.84684359
420	37.65695601
421	37.58026674
422	37.50573425
423	37.38287925
424	37.34119096
425	37.3021107
426	37.21915751
427	37.09620378
428	37.01564227
429	36.90467602
430	36.74366629
431	36.60006515
432	36.43145415
433	36.34300565
434	36.30456403
435	36.22655131
436	36.18308281
437	36.07492904
438	36.02086955
439	35.94373583
440	35.78747238
441	35.71988959
442	35.64448617
443	35.54254035
444	35.43091112
445	35.39442291
446	35.36748826
447	35.34109272
448	35.25444046
449	35.17010214
450	35.01665335
451	34.92533055
452	34.81625393
453	34.74907257
454	34.70076512
455	34.64343217
456	34.56891951
457	34.49761904
458	34.34488864
459	34.29030505
460	34.2372414
461	34.21923495
462	34.1544673
463	33.99027936
464	33.85277893
465	33.80968284
466	33.74636932
467	33.69480299
468	33.68262363
469	33.61673412
470	33.50186987
471	33.41667579
472	33.35908724
473	33.3264535
474	33.27906943
475	33.21825752
476	33.20684146
477	33.14856322
478	33.04360829
479	33.01740045
480	32.85232513
481	32.84046905
482	32.79011693
483	32.64423518
484	32.54360068
485	32.4820211
486	32.41954298
487	32.40907587
488	32.33772382
489	32.26904387
490	32.18518011
491	32.1263721
492	32.11644746
493	32.07152072
494	31.98877823
495	31.89937801
496	31.83525065
497	31.78725061
498	31.77677832
499	31.69051534
500	31.62767403
501	31.58064025
502	31.53222381
503	31.48710586
504	31.45166429
505	31.39453968
506	31.34381842
507	31.28409335
508	31.2220102
509	31.13917736
